start,end,cost
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJDfnLZ1lSUkYRchF_if80LfE,0
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJsRh_oFlSUkYRkBBHQUeoKcI,2.3001564499974693e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJ9cuitllSUkYRd6ZoiDSinIM,4.2567435399779935e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJk2Y2M1hSUkYR8cXNNRfosIY,4.938950039974193e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJCy4tOFhSUkYRBiS5iJUrGnY,7.169772509992205e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJj1RhMlhSUkYRxwx00g4P0QE,5.832883079986021e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJuYkcKlhSUkYRFPCipW5rTvU,5.998877079987046e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJP6TdhFdSUkYRdrsWKXZMAs8,6.5556462199829915e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJf9Y9sFdSUkYRmaDEJhCweGc,8.705329709992932e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJozaGTFZSUkYRNtWl2AGUPkI,9.380317719999275e-06
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJDfnLZ1lSUkYRchF_if80LfE,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
